t,Severity,ratio
2017-10-01,S1,0.21478426395939088
2017-10-01,S2,0.018189509306260575
2017-10-02,S1,0.19691201353637902
2017-10-02,S2,0.018083756345177664
2017-10-03,S1,0.19342216582064298
2017-10-03,S2,0.01660321489001692
2017-10-04,S1,0.1773477157360406
2017-10-04,S2,0.013853637901861253
2017-10-05,S1,0.14276649746192893
2017-10-05,S2,0.011950084602368866
2017-10-06,S1,0.1352580372250423
2017-10-06,S2,0.012478849407783418
2017-10-07,S1,0.14911167512690354
2017-10-07,S2,0.0133248730964467
2017-10-08,S1,0.1885575296108291
2017-10-08,S2,0.01670896785109983
2017-10-09,S1,0.21340947546531303
2017-10-09,S2,0.022313874788494076
2017-10-10,S1,0.2049492385786802
2017-10-10,S2,0.020516074450084604
2017-10-11,S1,0.22091793570219967
2017-10-11,S2,0.021256345177664976
2017-10-12,S1,0.2140439932318105
2017-10-12,S2,0.022208121827411168
2017-10-13,S1,0.21637055837563451
2017-10-13,S2,0.01998730964467005
2017-10-14,S1,0.20050761421319796
2017-10-14,S2,0.01924703891708968
2017-10-15,S1,0.1964890016920474
2017-10-15,S2,0.020833333333333332
2017-10-16,S1,0.19236463620981387
2017-10-16,S2,0.025063451776649745
2017-10-17,S1,0.19955583756345177
2017-10-17,S2,0.026755499153976313
2017-10-18,S1,0.2121404399323181
2017-10-18,S2,0.028236040609137057
2017-10-19,S1,0.23804991539763112
2017-10-19,S2,0.03341793570219966
2017-10-20,S1,0.22715736040609136
2017-10-20,S2,0.028659052453468697
2017-10-21,S1,0.202834179357022
2017-10-21,S2,0.023265651438240272
2017-10-22,S1,0.17671319796954316
2017-10-22,S2,0.021150592216582064
2017-10-23,S1,0.15704314720812182
2017-10-23,S2,0.01988155668358714
2017-10-24,S1,0.15746615905245348
2017-10-24,S2,0.018189509306260575
2017-10-25,S1,0.1567258883248731
2017-10-25,S2,0.01596869712351946
2017-10-26,S1,0.16867597292724196
2017-10-26,S2,0.020516074450084604
2017-10-27,S1,0.20653553299492386
2017-10-27,S2,0.024957698815566837
2017-10-28,S1,0.25074027072758037
2017-10-28,S2,0.032148900169204735
2017-10-29,S1,0.3293147208121827
2017-10-29,S2,0.043993231810490696
2017-10-30,S1,0.43950930626057527
2017-10-30,S2,0.061865482233502536
2017-10-31,S1,0.4938663282571912
2017-10-31,S2,0.07561336717428088
2017-11-01,S1,0.5178722504230119
2017-11-01,S2,0.09073604060913705
2017-11-02,S1,0.5237944162436549
2017-11-02,S2,0.10035956006768189
2017-11-03,S1,0.4473350253807107
2017-11-03,S2,0.08439086294416244
2017-11-04,S1,0.32339255499153974
2017-11-04,S2,0.05266497461928934
2017-11-05,S1,0.23730964467005075
2017-11-05,S2,0.03563874788494078
2017-11-06,S1,0.17988578680203046
2017-11-06,S2,0.020410321489001692
2017-11-07,S1,0.13684433164128595
2017-11-07,S2,0.013747884940778343
2017-11-08,S1,0.09644670050761421
2017-11-08,S2,0.0075084602368866325
2017-11-09,S1,0.10427241962774958
2017-11-09,S2,0.006450930626057529
2017-11-10,S1,0.09919627749576988
2017-11-10,S2,0.008671742808798646
2017-11-11,S1,0.08851522842639593
2017-11-11,S2,0.008037225042301184
2017-11-12,S1,0.09792724196277496
2017-11-12,S2,0.008354483925549916
2017-11-13,S1,0.13779610829103214
2017-11-13,S2,0.011209813874788494
2017-11-14,S1,0.16560913705583757
2017-11-14,S2,0.012055837563451776
2017-11-15,S1,0.1988155668358714
2017-11-15,S2,0.015334179357021997
2017-11-16,S1,0.25793147208121825
2017-11-16,S2,0.021785109983079528
2017-11-17,S1,0.2539128595600677
2017-11-17,S2,0.037859560067681895
2017-11-18,S1,0.2539128595600677
2017-11-18,S2,0.05213620981387479
2017-11-19,S1,0.2620558375634518
2017-11-19,S2,0.0727580372250423
2017-11-20,S1,0.27749576988155666
2017-11-20,S2,0.07836294416243655
2017-11-21,S1,0.3015016920473773
2017-11-21,S2,0.08428510998307953
2017-11-22,S1,0.3374576988155668
2017-11-22,S2,0.0942258883248731
2017-11-23,S1,0.378489847715736
2017-11-23,S2,0.10839678510998307
2017-11-24,S1,0.39720812182741116
2017-11-24,S2,0.14287225042301185
2017-11-25,S1,0.42100253807106597
2017-11-25,S2,0.20642978003384094
2017-11-26,S1,0.48403130287648055
2017-11-26,S2,0.25539340101522845
2017-11-27,S1,0.5534052453468697
2017-11-27,S2,0.27390016920473775
2017-11-28,S1,0.5938028764805414
2017-11-28,S2,0.31567258883248733
2017-11-29,S1,0.6272208121827412
2017-11-29,S2,0.35607021996615906
2017-11-30,S1,0.6504864636209814
2017-11-30,S2,0.3759517766497462
2017-12-01,S1,0.6491116751269036
2017-12-01,S2,0.38578680203045684
2017-12-02,S1,0.6441412859560067
2017-12-02,S2,0.38853637901861254
2017-12-03,S1,0.6460448392554992
2017-12-03,S2,0.3946700507614213
2017-12-04,S1,0.6343062605752962
2017-12-04,S2,0.40598561759729274
2017-12-05,S1,0.6411802030456852
2017-12-05,S2,0.4188874788494078
2017-12-06,S1,0.6496404399323181
2017-12-06,S2,0.41846446700507617
2017-12-07,S1,0.6940566835871405
2017-12-07,S2,0.41941624365482233
2017-12-08,S1,0.7274746192893401
2017-12-08,S2,0.42375211505922167
2017-12-09,S1,0.6982868020304569
2017-12-09,S2,0.4086294416243655
2017-12-10,S1,0.6466793570219966
2017-12-10,S2,0.39202622673434856
2017-12-11,S1,0.6172800338409475
2017-12-11,S2,0.39318950930626057
2017-12-12,S1,0.6059644670050761
2017-12-12,S2,0.39096869712351945
2017-12-13,S1,0.6198181049069373
2017-12-13,S2,0.38049915397631134
2017-12-14,S1,0.6263747884940778
2017-12-14,S2,0.37256768189509304
2017-12-15,S1,0.629758883248731
2017-12-15,S2,0.38917089678510997
2017-12-16,S1,0.633248730964467
2017-12-16,S2,0.3904399323181049
2017-12-17,S1,0.6065989847715736
2017-12-17,S2,0.3895939086294416
2017-12-18,S1,0.5931683587140439
2017-12-18,S2,0.35797377326565144
2017-12-19,S1,0.5582698815566836
2017-12-19,S2,0.2932529610829103
2017-12-20,S1,0.550761421319797
2017-12-20,S2,0.27506345177664976
2017-12-21,S1,0.5699027072758037
2017-12-21,S2,0.2847927241962775
2017-12-22,S1,0.6056472081218274
2017-12-22,S2,0.30372250423011843
2017-12-23,S1,0.6560913705583756
2017-12-23,S2,0.33481387478849406
2017-12-24,S1,0.6878172588832487
2017-12-24,S2,0.35628172588832485
2017-12-25,S1,0.6535532994923858
2017-12-25,S2,0.3277284263959391
2017-12-26,S1,0.6207698815566836
2017-12-26,S2,0.2956852791878173
2017-12-27,S1,0.648582910321489
2017-12-27,S2,0.2888113367174281
2017-12-28,S1,0.69331641285956
2017-12-28,S2,0.2986463620981388
2017-12-29,S1,0.6986040609137056
2017-12-29,S2,0.3102791878172589
2017-12-30,S1,0.6729060913705583
2017-12-30,S2,0.3032994923857868
2017-12-31,S1,0.6997673434856176
2017-12-31,S2,0.3239213197969543
2018-01-01,S1,0.7359348561759729
2018-01-01,S2,0.38747884940778343
2018-01-02,S1,0.7807741116751269
2018-01-02,S2,0.44532571912013535
2018-01-03,S1,0.7976945854483926
2018-01-03,S2,0.4720812182741117
2018-01-04,S1,0.7901861252115059
2018-01-04,S2,0.44521996615905246
2018-01-05,S1,0.6813663282571912
2018-01-05,S2,0.36601099830795264
2018-01-06,S1,0.6365270727580372
2018-01-06,S2,0.3043570219966159
2018-01-07,S1,0.6370558375634517
2018-01-07,S2,0.2906091370558376
2018-01-08,S1,0.6658206429780034
2018-01-08,S2,0.3056260575296108
2018-01-09,S1,0.7104483925549916
2018-01-09,S2,0.33661167512690354
2018-01-10,S1,0.7081218274111675
2018-01-10,S2,0.3378807106598985
2018-01-11,S1,0.7134094754653131
2018-01-11,S2,0.3403130287648054
2018-01-12,S1,0.7024111675126904
2018-01-12,S2,0.32899746192893403
2018-01-13,S1,0.6984983079526227
2018-01-13,S2,0.3183164128595601
2018-01-14,S1,0.6817893401015228
2018-01-14,S2,0.3240270727580372
2018-01-15,S1,0.6689932318104906
2018-01-15,S2,0.33597715736040606
2018-01-16,S1,0.6642343485617598
2018-01-16,S2,0.2958967851099831
2018-01-17,S1,0.6682529610829103
2018-01-17,S2,0.2650169204737733
2018-01-18,S1,0.6761844331641286
2018-01-18,S2,0.26279610829103217
2018-01-19,S1,0.6750211505922166
2018-01-19,S2,0.2736886632825719
2018-01-20,S1,0.6457275803722504
2018-01-20,S2,0.26417089678510997
2018-01-21,S1,0.6700507614213198
2018-01-21,S2,0.29875211505922167
2018-01-22,S1,0.6935279187817259
2018-01-22,S2,0.3330160744500846
2018-01-23,S1,0.7103426395939086
2018-01-23,S2,0.4240693739424704
2018-01-24,S1,0.7270516074450084
2018-01-24,S2,0.45917935702199664
2018-01-25,S1,0.7625846023688664
2018-01-25,S2,0.48720389170896783
2018-01-26,S1,0.7969543147208121
2018-01-26,S2,0.5346869712351946
2018-01-27,S1,0.8050972927241963
2018-01-27,S2,0.5697969543147208
2018-01-28,S1,0.7942047377326565
2018-01-28,S2,0.5932741116751269
2018-01-29,S1,0.7866962774957699
2018-01-29,S2,0.5762478849407784
2018-01-30,S1,0.7836294416243654
2018-01-30,S2,0.5618654822335025
2018-01-31,S1,0.7758037225042301
2018-01-31,S2,0.5097292724196277
2018-02-01,S1,0.7255710659898477
2018-02-01,S2,0.32603637901861254
2018-02-02,S1,0.6725888324873096
2018-02-02,S2,0.257085448392555
2018-02-03,S1,0.6695219966159053
2018-02-03,S2,0.2294839255499154
2018-02-04,S1,0.6528130287648054
2018-02-04,S2,0.2091793570219966
2018-02-05,S1,0.6339890016920474
2018-02-05,S2,0.17354060913705585
2018-02-06,S1,0.6186548223350253
2018-02-06,S2,0.15556260575296108
2018-02-07,S1,0.5970812182741116
2018-02-07,S2,0.14287225042301185
2018-02-08,S1,0.6051184433164128
2018-02-08,S2,0.15936971235194586
2018-02-09,S1,0.6461505922165821
2018-02-09,S2,0.2151015228426396
2018-02-10,S1,0.6724830795262268
2018-02-10,S2,0.26586294416243655
2018-02-11,S1,0.6959602368866328
2018-02-11,S2,0.3044627749576988
2018-02-12,S1,0.7009306260575296
2018-02-12,S2,0.31207698815566837
2018-02-13,S1,0.7379441624365483
2018-02-13,S2,0.28859983079526225
2018-02-14,S1,0.7520093062605753
2018-02-14,S2,0.26713197969543145
2018-02-15,S1,0.7530668358714044
2018-02-15,S2,0.28225465313028764
2018-02-16,S1,0.7421742808798646
2018-02-16,S2,0.32550761421319796
2018-02-17,S1,0.7158417935702199
2018-02-17,S2,0.33365059221658205
2018-02-18,S1,0.6952199661590525
2018-02-18,S2,0.3460236886632826
2018-02-19,S1,0.6607445008460237
2018-02-19,S2,0.30403976311336717
2018-02-20,S1,0.6151649746192893
2018-02-20,S2,0.24027072758037224
2018-02-21,S1,0.577834179357022
2018-02-21,S2,0.21679357021996615
2018-02-22,S1,0.5582698815566836
2018-02-22,S2,0.1658206429780034
2018-02-23,S1,0.5640862944162437
2018-02-23,S2,0.12425972927241963
2018-02-24,S1,0.5582698815566836
2018-02-24,S2,0.10078257191201354
2018-02-25,S1,0.5482233502538071
2018-02-25,S2,0.08957275803722504
2018-02-26,S1,0.5251692047377327
2018-02-26,S2,0.07445008460236886
2018-02-27,S1,0.5456852791878173
2018-02-27,S2,0.07942047377326565
2018-02-28,S1,0.5943316412859561
2018-02-28,S2,0.09676395939086295
2018-03-01,S1,0.6036379018612521
2018-03-01,S2,0.11696277495769881
2018-03-02,S1,0.647419627749577
2018-03-02,S2,0.14181472081218274
2018-03-03,S1,0.6955372250423012
2018-03-03,S2,0.16550338409475465
2018-03-04,S1,0.7092851099830795
2018-03-04,S2,0.20061336717428088
2018-03-05,S1,0.7188028764805414
2018-03-05,S2,0.23709813874788493
2018-03-06,S1,0.6908840947546532
2018-03-06,S2,0.24005922165820642
2018-03-07,S1,0.6173857868020305
2018-03-07,S2,0.2080160744500846
2018-03-08,S1,0.6183375634517766
2018-03-08,S2,0.2109771573604061
2018-03-09,S1,0.6097715736040609
2018-03-09,S2,0.2049492385786802
2018-03-10,S1,0.6174915397631133
2018-03-10,S2,0.20854483925549916
2018-03-11,S1,0.6283840947546532
2018-03-11,S2,0.2029399323181049
2018-03-12,S1,0.5889382402707276
2018-03-12,S2,0.16222504230118442
2018-03-13,S1,0.5572123519458545
2018-03-13,S2,0.14213197969543148
2018-03-14,S1,0.55668358714044
2018-03-14,S2,0.12827834179357023
2018-03-15,S1,0.5154399323181049
2018-03-15,S2,0.1075507614213198
2018-03-16,S1,0.48508883248730966
2018-03-16,S2,0.07635363790186125
2018-03-17,S1,0.5040186125211505
2018-03-17,S2,0.08460236886632826
2018-03-18,S1,0.5379653130287648
2018-03-18,S2,0.10892554991539763
2018-03-19,S1,0.5439932318104906
2018-03-19,S2,0.11802030456852793
2018-03-20,S1,0.5432529610829103
2018-03-20,S2,0.11241539763113367
2018-03-21,S1,0.5107868020304569
2018-03-21,S2,0.10871404399323181
2018-03-22,S1,0.47609983079526225
2018-03-22,S2,0.0973984771573604
2018-03-23,S1,0.4954526226734349
2018-03-23,S2,0.12648054145516074
2018-03-24,S1,0.5392343485617598
2018-03-24,S2,0.15006345177664976
2018-03-25,S1,0.5777284263959391
2018-03-25,S2,0.1753384094754653
2018-03-26,S1,0.5886209813874789
2018-03-26,S2,0.1761844331641286
2018-03-27,S1,0.581324027072758
2018-03-27,S2,0.171002538071066
2018-03-28,S1,0.5982445008460237
2018-03-28,S2,0.18009729272419628
2018-03-29,S1,0.6151649746192893
2018-03-29,S2,0.18305837563451777
2018-03-30,S1,0.5909475465313029
2018-03-30,S2,0.17554991539763112
2018-03-31,S1,0.551818950930626
2018-03-31,S2,0.13769035532994925
2018-04-01,S1,0.5722292724196277
2018-04-01,S2,0.12743231810490693
2018-04-02,S1,0.5848138747884941
2018-04-02,S2,0.14096869712351945
2018-04-03,S1,0.5657783417935702
2018-04-03,S2,0.14456429780033841
2018-04-04,S1,0.5528764805414551
2018-04-04,S2,0.14223773265651438
2018-04-05,S1,0.5465313028764806
2018-04-05,S2,0.14001692047377326
2018-04-06,S1,0.5325719120135364
2018-04-06,S2,0.1342005076142132
2018-04-07,S1,0.510681049069374
2018-04-07,S2,0.11389593908629442
2018-04-08,S1,0.4958756345177665
2018-04-08,S2,0.0901015228426396
2018-04-09,S1,0.4260786802030457
2018-04-09,S2,0.07233502538071065
2018-04-10,S1,0.3583967851099831
2018-04-10,S2,0.05308798646362098
2018-04-11,S1,0.31228849407783416
2018-04-11,S2,0.0481175972927242
2018-04-12,S1,0.3217005076142132
2018-04-12,S2,0.043252961082910324
2018-04-13,S1,0.3291032148900169
2018-04-13,S2,0.04875211505922166
2018-04-14,S1,0.3555414551607445
2018-04-14,S2,0.050655668358714045
2018-04-15,S1,0.3677030456852792
2018-04-15,S2,0.051607445008460234
2018-04-16,S1,0.3523688663282572
2018-04-16,S2,0.049069373942470386
2018-04-17,S1,0.32043147208121825
2018-04-17,S2,0.051501692047377326
2018-04-18,S1,0.28267766497461927
2018-04-18,S2,0.04991539763113367
2018-04-19,S1,0.2571912013536379
2018-04-19,S2,0.041560913705583756
2018-04-20,S1,0.2491539763113367
2018-04-20,S2,0.03817681895093063
2018-04-21,S1,0.23826142131979697
2018-04-21,S2,0.0327834179357022
2018-04-22,S1,0.21171742808798646
2018-04-22,S2,0.03341793570219966
2018-04-23,S1,0.2069585448392555
2018-04-23,S2,0.031725888324873094
2018-04-24,S1,0.22102368866328256
2018-04-24,S2,0.030668358714043994
2018-04-25,S1,0.22271573604060912
2018-04-25,S2,0.02950507614213198
2018-04-26,S1,0.23498307952622674
2018-04-26,S2,0.02992808798646362
2018-04-27,S1,0.2396362098138748
2018-04-27,S2,0.028236040609137057
2018-04-28,S1,0.21753384094754652
2018-04-28,S2,0.02686125211505922
2018-04-29,S1,0.19617174280879865
2018-04-29,S2,0.026967005076142133
2018-04-30,S1,0.2149957698815567
2018-04-30,S2,0.030139593908629442
2018-05-01,S1,0.21986040609137056
2018-05-01,S2,0.03352368866328257
2018-05-02,S1,0.2254653130287648
2018-05-02,S2,0.030668358714043994
2018-05-03,S1,0.23699238578680204
2018-05-03,S2,0.03236040609137056
2018-05-04,S1,0.2357233502538071
2018-05-04,S2,0.034581218274111675
2018-05-05,S1,0.2336082910321489
2018-05-05,S2,0.038282571912013535
2018-05-06,S1,0.2396362098138748
2018-05-06,S2,0.03986886632825719
2018-05-07,S1,0.24312605752961083
2018-05-07,S2,0.04483925549915398
2018-05-08,S1,0.23508883248730963
2018-05-08,S2,0.043570219966159056
2018-05-09,S1,0.23096446700507614
2018-05-09,S2,0.0369077834179357
2018-05-10,S1,0.22514805414551609
2018-05-10,S2,0.02939932318104907
2018-05-11,S1,0.23741539763113367
2018-05-11,S2,0.028553299492385786
2018-05-12,S1,0.23910744500846023
2018-05-12,S2,0.029293570219966158
2018-05-13,S1,0.23931895093062605
2018-05-13,S2,0.02612098138747885
2018-05-14,S1,0.2338197969543147
2018-05-14,S2,0.02548646362098139
2018-05-15,S1,0.217005076142132
2018-05-15,S2,0.0225253807106599
2018-05-16,S1,0.217005076142132
2018-05-16,S2,0.025592216582064297
2018-05-17,S1,0.23413705583756345
2018-05-17,S2,0.031302876480541454
2018-05-18,S1,0.24830795262267344
2018-05-18,S2,0.03648477157360406
2018-05-19,S1,0.24555837563451777
2018-05-19,S2,0.04187817258883249
2018-05-20,S1,0.24746192893401014
2018-05-20,S2,0.03965736040609137
2018-05-21,S1,0.22684010152284265
2018-05-21,S2,0.033312182741116754
2018-05-22,S1,0.2057952622673435
2018-05-22,S2,0.0347927241962775
2018-05-23,S1,0.1926818950930626
2018-05-23,S2,0.03225465313028765
2018-05-24,S1,0.1895093062605753
2018-05-24,S2,0.03003384094754653
2018-05-25,S1,0.18210659898477158
2018-05-25,S2,0.028659052453468697
2018-05-26,S1,0.1620135363790186
2018-05-26,S2,0.025063451776649745
2018-05-27,S1,0.16645516074450084
2018-05-27,S2,0.025169204737732657
2018-05-28,S1,0.1651861252115059
2018-05-28,S2,0.023477157360406092
2018-05-29,S1,0.15587986463620981
2018-05-29,S2,0.021679357021996616
2018-05-30,S1,0.15524534686971236
2018-05-30,S2,0.021890862944162436
2018-05-31,S1,0.16529187817258884
2018-05-31,S2,0.02569796954314721
2018-06-01,S1,0.16211928934010153
2018-06-01,S2,0.02601522842639594
2018-06-02,S1,0.16761844331641285
2018-06-02,S2,0.02590947546531303
2018-06-03,S1,0.17438663282571912
2018-06-03,S2,0.025169204737732657
2018-06-04,S1,0.18411590524534688
2018-06-04,S2,0.02612098138747885
2018-06-05,S1,0.18675972927241963
2018-06-05,S2,0.028341793570219966
2018-06-06,S1,0.22557106598984772
2018-06-06,S2,0.0358502538071066
2018-06-07,S1,0.23181049069373943
2018-06-07,S2,0.03563874788494078
2018-06-08,S1,0.23498307952622674
2018-06-08,S2,0.03310067681895093
2018-06-09,S1,0.23688663282571912
2018-06-09,S2,0.02950507614213198
2018-06-10,S1,0.2378384094754653
2018-06-10,S2,0.0327834179357022
2018-06-11,S1,0.24132825719120135
2018-06-11,S2,0.030456852791878174
2018-06-12,S1,0.22419627749576987
2018-06-12,S2,0.02728426395939086
2018-06-13,S1,0.21975465313028764
2018-06-13,S2,0.023900169204737733
2018-06-14,S1,0.23096446700507614
2018-06-14,S2,0.021679357021996616
2018-06-15,S1,0.24608714043993232
2018-06-15,S2,0.024640439932318105
2018-06-16,S1,0.24809644670050762
2018-06-16,S2,0.02569796954314721
2018-06-17,S1,0.27337140439932317
2018-06-17,S2,0.040714890016920476
2018-06-18,S1,0.2933587140439932
2018-06-18,S2,0.060596446700507615
2018-06-19,S1,0.28098561759729274
2018-06-19,S2,0.05414551607445008
2018-06-20,S1,0.2615270727580372
2018-06-20,S2,0.04684856175972927
2018-06-21,S1,0.25274957698815564
2018-06-21,S2,0.03976311336717428
2018-06-22,S1,0.2656514382402707
2018-06-22,S2,0.03510998307952622
2018-06-23,S1,0.2552876480541455
2018-06-23,S2,0.03711928934010152
2018-06-24,S1,0.26290186125211507
2018-06-24,S2,0.04600253807106599
2018-06-25,S1,0.24809644670050762
2018-06-25,S2,0.044416243654822336
2018-06-26,S1,0.22609983079526227
2018-06-26,S2,0.04060913705583756
2018-06-27,S1,0.21785109983079526
2018-06-27,S2,0.03669627749576988
2018-06-28,S1,0.2048434856175973
2018-06-28,S2,0.03299492385786802
2018-06-29,S1,0.20611252115059223
2018-06-29,S2,0.028870558375634518
2018-06-30,S1,0.20812182741116753
2018-06-30,S2,0.027813028764805414
2018-07-01,S1,0.21235194585448391
2018-07-01,S2,0.02601522842639594
2018-07-02,S1,0.22895516074450084
2018-07-02,S2,0.02728426395939086
2018-07-03,S1,0.23022419627749577
2018-07-03,S2,0.027813028764805414
2018-07-04,S1,0.20769881556683586
2018-07-04,S2,0.028764805414551606
2018-07-05,S1,0.19796954314720813
2018-07-05,S2,0.027918781725888325
2018-07-06,S1,0.23329103214890018
2018-07-06,S2,0.02992808798646362
2018-07-07,S1,0.2428087986463621
2018-07-07,S2,0.03320642978003384
2018-07-08,S1,0.24450084602368866
2018-07-08,S2,0.03574450084602369
2018-07-09,S1,0.21129441624365483
2018-07-09,S2,0.03140862944162436
2018-07-10,S1,0.20103637901861252
2018-07-10,S2,0.02897631133671743
2018-07-11,S1,0.17354060913705585
2018-07-11,S2,0.02009306260575296
2018-07-12,S1,0.15619712351945855
2018-07-12,S2,0.018401015228426396
2018-07-13,S1,0.157994923857868
2018-07-13,S2,0.01692047377326565
2018-07-14,S1,0.16455160744500846
2018-07-14,S2,0.018929780033840948
2018-07-15,S1,0.1831641285956007
2018-07-15,S2,0.021467851099830796
2018-07-16,S1,0.1977580372250423
2018-07-16,S2,0.020410321489001692
2018-07-17,S1,0.19321065989847716
2018-07-17,S2,0.017978003384094755
2018-07-18,S1,0.2068527918781726
2018-07-18,S2,0.0163917089678511
2018-07-19,S1,0.22292724196277497
2018-07-19,S2,0.021362098138747884
2018-07-20,S1,0.20960236886632827
2018-07-20,S2,0.024217428087986465
2018-07-21,S1,0.1946912013536379
2018-07-21,S2,0.022313874788494076
2018-07-22,S1,0.19373942470389172
2018-07-22,S2,0.02030456852791878
2018-07-23,S1,0.1844331641285956
2018-07-23,S2,0.014488155668358715
2018-07-24,S1,0.18210659898477158
2018-07-24,S2,0.01353637901861252
2018-07-25,S1,0.16740693739424703
2018-07-25,S2,0.00983502538071066
2018-07-26,S1,0.1701565143824027
2018-07-26,S2,0.012267343485617596
2018-07-27,S1,0.1692047377326565
2018-07-27,S2,0.012055837563451776
2018-07-28,S1,0.15915820642978004
2018-07-28,S2,0.008883248730964468
2018-07-29,S1,0.1362098138747885
2018-07-29,S2,0.005076142131979695
2018-07-30,S1,0.13293147208121828
2018-07-30,S2,0.006979695431472081
2018-07-31,S1,0.13293147208121828
2018-07-31,S2,0.0075084602368866325
